timestamp,SettlementPoint,SettlementPointPrice
2025-12-02 21:00:00,HB_HOUSTON,39.6
2025-12-02 21:00:00,HB_NORTH,31.3
2025-12-02 22:00:00,HB_HOUSTON,36.18
2025-12-02 22:00:00,LZ_SOUTH,51.23
2025-12-02 22:00:00,LZ_NORTH,26.88
2025-12-02 22:00:00,LZ_WEST,29.72
2025-12-02 22:00:00,HB_WEST,10.1
2025-12-02 22:00:00,HB_SOUTH,50.16
2025-12-02 22:00:00,HB_NORTH,29.33
2025-12-02 22:00:00,LZ_HOUSTON,36.86
2025-12-02 23:00:00,HB_NORTH,29.01
2025-12-02 23:00:00,HB_SOUTH,40.77
2025-12-02 23:00:00,HB_WEST,10.14
2025-12-02 23:00:00,LZ_HOUSTON,32.37
2025-12-02 23:00:00,LZ_NORTH,26.02
2025-12-02 23:00:00,LZ_SOUTH,41.75
2025-12-02 23:00:00,LZ_WEST,28.56
2025-12-02 23:00:00,HB_HOUSTON,31.94
2025-12-03 00:00:00,LZ_WEST,25.63
2025-12-03 00:00:00,HB_NORTH,26.05
2025-12-03 00:00:00,HB_SOUTH,37.26
2025-12-03 00:00:00,HB_WEST,7.78
2025-12-03 00:00:00,LZ_HOUSTON,29.61
2025-12-03 00:00:00,LZ_NORTH,23.02
2025-12-03 00:00:00,HB_HOUSTON,29.22
2025-12-03 00:00:00,LZ_SOUTH,37.6
2025-12-03 01:00:00,HB_HOUSTON,28.62
2025-12-03 01:00:00,HB_NORTH,24.94
2025-12-03 01:00:00,HB_SOUTH,42.84
2025-12-03 01:00:00,HB_WEST,6.94
2025-12-03 01:00:00,LZ_HOUSTON,29.18
2025-12-03 01:00:00,LZ_NORTH,22.05
2025-12-03 01:00:00,LZ_SOUTH,43.1
2025-12-03 01:00:00,LZ_WEST,26.88
2025-12-03 02:00:00,HB_NORTH,23.75
2025-12-03 02:00:00,HB_HOUSTON,25.89
2025-12-03 02:00:00,HB_SOUTH,38.65
2025-12-03 02:00:00,HB_WEST,5.63
2025-12-03 02:00:00,LZ_HOUSTON,26.35
2025-12-03 02:00:00,LZ_NORTH,20.87
2025-12-03 02:00:00,LZ_SOUTH,39.23
2025-12-03 02:00:00,LZ_WEST,24.41
2025-12-03 03:00:00,LZ_WEST,28.61
2025-12-03 03:00:00,LZ_NORTH,21.79
2025-12-03 03:00:00,LZ_SOUTH,41.98
2025-12-03 03:00:00,LZ_HOUSTON,28.54
2025-12-03 03:00:00,HB_WEST,9.91
2025-12-03 03:00:00,HB_SOUTH,41.6
2025-12-03 03:00:00,HB_NORTH,24.54
2025-12-03 03:00:00,HB_HOUSTON,28.03
2025-12-03 04:00:00,LZ_WEST,30.74
2025-12-03 04:00:00,LZ_SOUTH,40.99
2025-12-03 04:00:00,LZ_HOUSTON,29.33
2025-12-03 04:00:00,HB_WEST,11.64
2025-12-03 04:00:00,LZ_NORTH,24.13
2025-12-03 04:00:00,HB_NORTH,26.56
2025-12-03 04:00:00,HB_HOUSTON,28.94
2025-12-03 04:00:00,HB_SOUTH,40.53
2025-12-03 05:00:00,LZ_SOUTH,43.95
2025-12-03 05:00:00,HB_HOUSTON,29.47
2025-12-03 05:00:00,HB_NORTH,27.31
2025-12-03 05:00:00,HB_SOUTH,43.03
2025-12-03 05:00:00,HB_WEST,12.89
2025-12-03 05:00:00,LZ_HOUSTON,29.9
2025-12-03 05:00:00,LZ_NORTH,24.6
2025-12-03 05:00:00,LZ_WEST,32.4
2025-12-03 06:00:00,LZ_WEST,41.42
2025-12-03 06:00:00,LZ_NORTH,33.54
2025-12-03 06:00:00,LZ_SOUTH,58.8
2025-12-03 06:00:00,LZ_HOUSTON,38.48
2025-12-03 06:00:00,HB_WEST,23.45
2025-12-03 06:00:00,HB_SOUTH,55.98
2025-12-03 06:00:00,HB_NORTH,36.0
2025-12-03 06:00:00,HB_HOUSTON,38.02
2025-12-03 07:00:00,LZ_SOUTH,73.06
2025-12-03 07:00:00,LZ_NORTH,43.71
2025-12-03 07:00:00,LZ_HOUSTON,48.5
2025-12-03 07:00:00,HB_WEST,37.22
2025-12-03 07:00:00,LZ_WEST,51.28
2025-12-03 07:00:00,HB_NORTH,45.07
2025-12-03 07:00:00,HB_HOUSTON,48.0
2025-12-03 07:00:00,HB_SOUTH,69.71
2025-12-03 08:00:00,HB_HOUSTON,47.21
2025-12-03 08:00:00,HB_NORTH,42.5
2025-12-03 08:00:00,HB_SOUTH,70.09
2025-12-03 08:00:00,HB_WEST,41.22
2025-12-03 08:00:00,LZ_HOUSTON,47.79
2025-12-03 08:00:00,LZ_NORTH,42.4
2025-12-03 08:00:00,LZ_SOUTH,72.28
2025-12-03 08:00:00,LZ_WEST,51.94
2025-12-03 09:00:00,LZ_WEST,33.62
2025-12-03 09:00:00,LZ_NORTH,28.81
2025-12-03 09:00:00,LZ_SOUTH,55.56
2025-12-03 09:00:00,LZ_HOUSTON,35.86
2025-12-03 09:00:00,HB_NORTH,28.58
2025-12-03 09:00:00,HB_SOUTH,53.2
2025-12-03 09:00:00,HB_HOUSTON,35.18
2025-12-03 09:00:00,HB_WEST,27.23
2025-12-03 10:00:00,LZ_WEST,27.31
2025-12-03 10:00:00,LZ_SOUTH,43.04
2025-12-03 10:00:00,LZ_HOUSTON,30.8
2025-12-03 10:00:00,HB_WEST,24.73
2025-12-03 10:00:00,LZ_NORTH,25.5
2025-12-03 10:00:00,HB_NORTH,24.98
2025-12-03 10:00:00,HB_HOUSTON,30.31
2025-12-03 10:00:00,HB_SOUTH,41.85
2025-12-03 11:00:00,LZ_SOUTH,43.27
2025-12-03 11:00:00,HB_HOUSTON,27.87
2025-12-03 11:00:00,HB_NORTH,22.41
2025-12-03 11:00:00,HB_SOUTH,42.1
2025-12-03 11:00:00,HB_WEST,23.52
2025-12-03 11:00:00,LZ_HOUSTON,28.41
2025-12-03 11:00:00,LZ_NORTH,23.39
2025-12-03 11:00:00,LZ_WEST,25.84
2025-12-03 12:00:00,LZ_WEST,26.33
2025-12-03 12:00:00,LZ_SOUTH,41.69
2025-12-03 12:00:00,LZ_NORTH,24.63
2025-12-03 12:00:00,HB_WEST,24.9
2025-12-03 12:00:00,LZ_HOUSTON,28.75
2025-12-03 12:00:00,HB_SOUTH,40.0
2025-12-03 12:00:00,HB_NORTH,23.94
2025-12-03 12:00:00,HB_HOUSTON,28.31
2025-12-03 13:00:00,LZ_WEST,26.88
2025-12-03 13:00:00,LZ_NORTH,25.07
2025-12-03 13:00:00,LZ_HOUSTON,28.66
2025-12-03 13:00:00,HB_WEST,25.55
2025-12-03 13:00:00,LZ_SOUTH,39.18
2025-12-03 13:00:00,HB_NORTH,24.43
2025-12-03 13:00:00,HB_HOUSTON,28.24
2025-12-03 13:00:00,HB_SOUTH,38.53
2025-12-03 14:00:00,HB_HOUSTON,27.61
